3272;CASTANHA DE CAJU CRUA CX 22KG                ;1330.25;1330.25;0;0;1006
3273;CASTANHA DE CAJU SL C/ SAL CX 10 KG           ;715.4;715.4;0;0;1006
3274;CASTANHA DE CAJU SL COM SAL 1KG               ;73;109.5;0.5;100;1006
3275;CASTANHA DE CAJU SL SEM SAL 1KG               ;73;73;0;0;1006
3276;CASTANHA DE CAJU SL SEM SAL 22KG          ;1573.9;1573.9;0;0;1006
3277;CASTANHA DE CAJU SL SEM SAL CX 10 KG       ;617.4;617.4;0;0;1006
3278;CASTANHA DE CAJU W1 COM SAL 1KG            ;55.9;83.85;0.5;100;1006
3279;CASTANHA DE CAJU W1 COM SAL CX 11.34 KG    ;621.2;621.2;0;0;1006
3280;CASTANHA DE CAJU W1 SEM SAL 1KG            ;55.9;55.9;0;0;1006
3281;CASTANHA DE CAJU W1 SEM SAL 22KG          ;1205.2;1205.2;0;0;1006
3282;CASTANHA DE CAJU W1 SEM SAL CX 11.34KG     ;621.2;621.2;0;0;1006
3283;CASTANHA DE CAJU W3 COM SAL 1KG            ;49;49;0;0;1006
3284;CASTANHA DE CAJU W3 COM SAL CX 11.34KG     ;544.55;544.55;0;0;1006
3285;CASTANHA DE CAJU W3 COM SAL CX 22KG       ;1056.45;1056.45;0;0;1006
3286;CASTANHA DE CAJU W3 SEM SAL 1KG            ;49;49;0;0;1006
3287;CASTANHA DE CAJU W3 SEM SAL CX 11.34 KG    ;544.55;544.55;0;0;1006
3288;CASTANHA DE CAJU W3 SEM SAL CX 22KG       ;1056.45;1056.45;0;0;1006
3289;CASTANHA DE CAJU W4 COM SAL 1KG            ;39.9;39.9;0;0;1006
3290;CASTANHA DE CAJU W4 COM SAL CX 22 KG       ;860.25;860.25;0;0;1006
3291;CASTANHA DE CAJU W4 SEM SAL 1KG            ;39.9;39.9;0;0;1006
3292;CASTANHA DE CAJU W4 SEM SAL 22KG           ;860.25;860.25;0;0;1006
3293;CASTANHA DE CAJU XEREM 1KG                 ;26.65;26.65;0;0;1006
3294;CASTANHA DO PARA FERIDA 1KG                ;52.5;78.75;0.5;100;1006
